代码,名称,暂停申购起始日,恢复申购日期,单日申购上限(万元),暂停申购天数,暂停申购原因,投资类型,基金成立年限,去年净值增长率,同类平均收益率,"同类基金区间收益排名
","同类基金区间收益排名(百分比)
","报告期净值增长率
[报告期]去年年报
过去1年
","报告期业绩比较基准增长率
","报告期净值增长率减基准增长率
","报告期净值增长率标准差减基准标准差
",基金规模2020,基金规模2018,基金规模2019,基金规模排名
003220.OF,浙商惠利纯债债券,2016-10-12,——,0.1,——,为保护基金份额持有人利益,长期纯债型基金,3.591780822,3.762319197,5.973972239,1547/2272,68.08978873,3.72,1.1,2.62,-0.07,2.30401583,2.237297929,2.347850358,4396/9376
040003.OF,华安现金富利货币A,2016-09-29,——,1000,——,"为保护本基金现有基金份额持有人的利益,根据《华安现金富利投资基金基金合同》、《华安现金富利投资基金更新的招募说明书》的有关规定,本基金管理人决定自2016年9月29日起暂停华安现金富利投资基金的大额申购、大额转换转入及大额定期定额投资业务。",货币式基金,16.34520548,2.200578471,2.546879012,588/649,90.6009245,2.1876,0.35,1.8376,0.0008,5.050765391,8.288698297,6.288474802,3224/9376
041003.OF,华安现金富利货币B,2016-09-29,——,1000,——,"为保护本基金现有基金份额持有人的利益,根据《华安现金富利投资基金基金合同》、《华安现金富利投资基金更新的招募说明书》的有关规定,本基金管理人决定自2016年9月29日起暂停华安现金富利投资基金的大额申购、大额转换转入及大额定期定额投资业务。",货币式基金,10.35890411,2.446933156,2.546879012,455/649,70.10785824,2.4329,0.35,2.0829,0.0008,19.7508382,261.3300711,33.27300601,1410/9376
000686.OF,建信嘉薪宝货币A,2016-09-26,——,50,——,保护基金份额持有人利益,货币式基金,5.873972603,2.954206993,2.546879012,25/649,3.852080123,2.9444,1.35,1.5944,0.0046,205.9714619,14.59305764,16.88101668,107/9376
001834.OF,长盛战略新兴产业灵活配置混合C,2016-09-26,——,100,——,保护基金份额持有人的利益。,偏股混合型基金,4.665753425,6.9,31.39015396,2685/2986,89.91962492,13.85,1.73,12.12,1.08,1.755792225,0,0,4914/9376
002753.OF,建信嘉薪宝货币B,2016-09-26,——,50,——,保护基金份额持有人利益,货币式基金,3.978082192,3.200779936,2.546879012,2/649,0.30816641,3.1903,1.35,1.8403,0.0046,0.011884561,28.05999165,0.051544575,8849/9376
080008.OF,长盛战略新兴产业灵活配置混合A,2016-09-26,——,100,——,保护基金份额持有人的利益。,偏股混合型基金,8.517808219,14.34624684,31.39015396,2173/2986,72.77294039,14.35,19.05,-4.7,0.37,0.147428386,3.695373022,0.240517482,7927/9376
002930.OF,博时聚润纯债债券,2016-09-21,——,1,——,为保护基金份额持有人利益,长期纯债型基金,3.668493151,2.804574169,5.973972239,1999/2272,87.98415493,2.77,4.28,-1.51,-0.03,10.42817859,10.00464961,10.05147829,2150/9376
003207.OF,博时富发纯债,2016-09-21,——,1,——,为保护基金份额持有人利益,长期纯债型基金,3.646575342,4.037670864,5.973972239,1334/2272,58.71478873,4.02,4.28,-0.26,0.02,3.277124667,3.002395521,3.141795509,3822/9376
003210.OF,博时智臻纯债债券,2016-09-21,——,1,——,为保护基金份额持有人利益,长期纯债型基金,3.668493151,3.994517819,5.973972239,1366/2272,60.12323944,3.96,4.28,-0.32,-0.01,10.80001114,10.0440778,10.19583622,2066/9376
002578.OF,博时裕泉纯债债券,2016-09-20,——,1,——,为保护基金份额持有人利益,长期纯债型基金,3.646575342,3.78762587,5.973972239,1520/2272,66.90140845,3.79,4.28,-0.49,0,49.26133564,47.58596963,47.93965016,644/9376
003260.OF,博时利发纯债债券,2016-09-20,——,1,——,为保护基金份额持有人利益,长期纯债型基金,3.646575342,3.717167816,5.973972239,1574/2272,69.27816901,3.71,4.28,-0.57,0.03,32.79777404,2.084511066,32.34047964,912/9376
003155.OF,中加丰尚纯债债券,2016-09-13,——,1,——,为保护基金份额持有人利益,长期纯债型基金,3.698630137,3.765837701,5.973972239,1542/2272,67.86971831,3.78,1.31,2.47,-0.02,34.99689972,34.23603726,35.28797876,865/9376
000067.OF,民生加银转债优选A,2016-09-09,——,50,——,"为了保证基金的平稳运作,保护基金份额持有人利益",混合债券型基金（二级）,7.038356164,24.91694344,5.973972239,44/2272,1.936619718,24.92,19.75,5.17,0.23,1.086103562,3.536587484,2.398690515,5654/9376
000068.OF,民生加银转债优选C,2016-09-09,——,50,——,"为了保证基金的平稳运作,保护基金份额持有人利益",混合债券型基金（二级）,7.038356164,24.57912441,5.973972239,46/2272,2.024647887,24.58,19.75,4.83,0.23,0.821379026,0.489262864,0.213674474,6097/9376
003162.OF,博时富宁纯债债券,2016-09-08,——,1,——,为保护基金份额持有人利益,长期纯债型基金,3.704109589,3.840617473,5.973972239,1487/2272,65.44894366,3.8,4.28,-0.48,-0.01,30.61631858,29.99762881,31.64703639,990/9376
519322.OF,浦银安盛盛元定开债A,2016-09-08,——,10000,——,"保护现有基金份额持有人的利益,加强基金投资运作的稳定性。",长期纯债型基金,3.775342466,5.533735224,5.973972239,668/2272,29.40140845,5.49,4.67,0.82,-0.02,95.11917692,51.07727755,102.0275724,307/9376
519323.OF,浦银安盛盛元定开债C,2016-09-08,——,10000,——,"保护现有基金份额持有人的利益,加强基金投资运作的稳定性。",长期纯债型基金,3.775342466,5.169878333,5.973972239,772/2272,33.97887324,5.13,4.67,0.46,-0.02,4.49557E-05,0.005732847,0.000043547,9306/9376
003099.OF,长盛盛景纯债A,2016-09-05,——,100,——,为保护长盛盛景纯债债券型证券投资基金份额持有人的利益,长期纯债型基金,3.739726027,3.050156684,5.973972239,1904/2272,83.8028169,3.03,1.31,1.72,0.01,15.24384991,14.6920161,15.28325765,1697/9376
003100.OF,长盛盛景纯债C,2016-09-05,——,100,——,为保护长盛盛景纯债债券型证券投资基金份额持有人的利益,长期纯债型基金,3.739726027,2.937132199,5.973972239,1948/2272,85.73943662,2.92,1.31,1.61,0.01,0.020527921,0.000411424,0.178343548,8747/9376
686868.OF,浙商聚盈纯债A,2016-09-05,——,5,——,为保护基金份额持有人利益,长期纯债型基金,7.619178082,4.343724239,5.973972239,1154/2272,50.79225352,4.33,1.31,3.02,-0.01,20.4209939,19.8621461,20.63232508,1372/9376
686869.OF,浙商聚盈纯债C,2016-09-05,——,5,——,为保护基金份额持有人利益,长期纯债型基金,7.619178082,4.172306338,5.973972239,1250/2272,55.01760563,4.16,1.31,2.85,-0.01,0.014768865,0.007089175,0.017397301,8810/9376
002749.OF,嘉实稳盛债券,2016-09-02,——,1,——,"保证基金业绩和规模的良性成长,向投资者提供更优质的服务。",混合债券型基金（二级）,3.909589041,5.103308061,5.973972239,799/2272,35.16725352,5.1,1.1,4,0.02,2.153205821,2.129975033,2.145771457,4522/9376
002426.OF,华安全球美元票息债券(QDII)人民币A,2016-09-01,——,1,——,"为了保证基金的平稳运作,保护基金持有人利益,本基金管理人决定自2016年9月1日起暂停华安全球美元票息债券的大额申购、大额定期定额投资业务。",QDII,3.909589041,8.441558442,20.89744936,215/241,89.21161826,8.44,9.98,-1.54,-0.1,1.596566564,4.670080535,2.213550235,5068/9376
002427.OF,华安全球美元票息债券(QDII)美元现汇A,2016-09-01,——,0.14,——,"为了保证基金的平稳运作,保护基金持有人利益,本基金管理人决定自2016年9月1日起暂停华安全球美元票息债券的大额申购、大额定期定额投资业务。",QDII,3.909589041,8.440146913,20.89744936,216/241,89.62655602,8.44,9.98,-1.54,-0.1,1.596566564,4.670080535,2.213550235,5069/9376
002429.OF,华安全球美元票息债券(QDII)C,2016-09-01,——,1,——,"为了保证基金的平稳运作,保护基金持有人利益,本基金管理人决定自2016年9月1日起暂停华安全球美元票息债券的大额申购、大额定期定额投资业务。",QDII,3.909589041,7.996237065,20.89744936,221/241,91.70124481,8,9.98,-1.98,-0.1,0.065313857,0.666117676,0.094552691,8385/9376
530029.OF,建信双月安心理财A,2016-08-25,——,5,——,保护基金份额持有人利益,中短期纯债型基金,7.254794521,2.511195354,5.973972239,2061/2272,90.71302817,2.5035,1.35,1.1535,0.0005,0.369256771,2.571159713,0.812296942,7158/9376
531029.OF,建信双月安心理财B,2016-08-25,——,5,——,保护基金份额持有人利益,中短期纯债型基金,7.254794521,2.810160876,5.973972239,1997/2272,87.89612676,2.8016,1.35,1.4516,0.0005,81.56947624,98.53593794,81.2931625,358/9376
002960.OF,博时合利货币B,2016-08-12,——,500,——,为保护基金份额持有人利益,货币式基金,3.742465753,2.2849681,2.546879012,559/649,86.13251156,2.2734,0.3549,1.9185,0.001,0.632368143,74.62527199,0.954752774,6477/9376
003023.OF,博时景发纯债债券,2016-08-12,——,1,——,为保护基金份额持有人利益,长期纯债型基金,3.742465753,4.036809858,5.973972239,1336/2272,58.8028169,4.02,4.28,-0.26,0.02,12.20409879,4.860909412,5.067590628,1927/9376
002222.OF,嘉实新趋势混合,2016-08-08,——,100,——,"保证基金业绩和规模的良性成长, 向投资者提供更优质的服务",偏股混合型基金,4.063013699,5.381944444,31.39015396,2776/2986,92.96718017,5.38,19.76,-14.38,-0.43,3.187403859,2.085422488,1.24827798,3869/9376
002758.OF,建信现金增利货币,2016-08-08,——,5,——,保护基金份额持有人利益,货币式基金,3.764383562,2.895760997,2.546879012,44/649,6.779661017,2.8868,1.35,1.5368,0.0006,1261.571976,320.5448484,937.4571854,7/9376
002868.OF,鹏华丰茂债券,2016-08-08,——,1,——,保护现有基金份额持有人利益,长期纯债型基金,3.84109589,4.58542701,5.973972239,1029/2272,45.29049296,4.56,4.36,0.2,-0.05,10.38070807,14.84411618,10.08719975,2157/9376
002929.OF,博时聚盈纯债债券,2016-08-08,——,1,——,为保护基金份额持有人利益,长期纯债型基金,3.761643836,4.661137542,5.973972239,993/2272,43.70598592,4.62,4.28,0.34,-0.01,11.61576784,10.50795744,10.85731166,1974/9376
002970.OF,博时裕昂纯债债券,2016-08-08,——,1,——,为保护基金份额持有人利益,长期纯债型基金,3.794520548,3.846580492,5.973972239,1482/2272,65.22887324,3.85,2.7,1.15,0.03,5.429442764,12.76468606,10.40392043,3079/9376
002073.OF,圆信永丰兴融A,2016-08-04,——,5,——,"为了保证基金的平稳运作,保护基金份额持有人利益。",长期纯债型基金,4.361643836,5.645686716,5.973972239,639/2272,28.125,5.65,1.31,4.34,0,17.67780422,24.63260387,24.68251329,1521/9376
002074.OF,圆信永丰兴融C,2016-08-04,——,5,——,"为了保证基金的平稳运作,保护基金份额持有人利益。",长期纯债型基金,4.361643836,5.34492158,5.973972239,724/2272,31.86619718,5.34,1.31,4.03,0,0.008070978,0.00043746,0.001092097,8919/9376
050023.OF,博时天颐债券A,2016-08-02,——,100,——,为保护基金份额持有人利益,混合债券型基金（二级）,8.17260274,12.39999957,5.973972239,165/2272,7.262323944,12.4,3.75,8.65,0.27,13.39068113,6.376021921,6.871027132,1839/9376
050123.OF,博时天颐债券C,2016-08-02,——,100,——,为保护基金份额持有人利益,混合债券型基金（二级）,8.17260274,11.9439874,5.973972239,175/2272,7.702464789,11.94,3.75,8.19,0.27,1.645606718,0.230655013,0.206068441,5021/9376
530030.OF,建信周盈安心理财债券A,2016-07-27,——,50,——,保护基金份额持有人利益,中短期纯债型基金,6.621917808,2.603690343,5.973972239,2049/2272,90.18485915,2.5951,1.35,1.2451,0.0008,1.833878708,2.64422797,6.800875261,4845/9376
531030.OF,建信周盈安心理财债券B,2016-07-27,——,50,——,保护基金份额持有人利益,中短期纯债型基金,6.621917808,2.903356315,5.973972239,1967/2272,86.57570423,2.8939,1.35,1.5439,0.0008,0.069795474,0.755534237,0.634569304,8356/9376
002927.OF,长盛盛和纯债A,2016-07-26,——,100,——,为保护长盛盛和纯债债券型证券投资基金份额持有人的利益,长期纯债型基金,3.821917808,2.373124088,5.973972239,2074/2272,91.28521127,2.34,1.1,1.24,0,15.08159914,14.62445055,15.24437948,1706/9376
002928.OF,长盛盛和纯债C,2016-07-26,——,100,——,为保护长盛盛和纯债债券型证券投资基金份额持有人的利益,长期纯债型基金,3.821917808,2.064965604,5.973972239,2090/2272,91.98943662,2.05,1.1,0.95,0,0.002869529,0.002125087,0.015334736,9046/9376
002991.OF,嘉实稳鑫纯债债券,2016-07-25,——,1,——,"保证基金业绩和规模的良性成长, 向投资者提供更优质的服
保证基金业绩和规模的良性成长, 向投资者提供更优质的服务",长期纯债型基金,3.794520548,3.947094827,5.973972239,1395/2272,61.39964789,3.93,2.74,1.19,0.02,15.56098033,14.9873941,15.1756164,1660/9376
002636.OF,广发集裕债券A,2016-07-20,——,2000,——,"在广发集裕债券基金恢复申购期间,暂停单日单账户通过申购及转换转入合计超过500,000元(不含)的大额业务,如单日单个基金账户累计申购及转换转入本基金金额合计超过500,000元(不含),本基金注册登记人将有权确认相关业务失败",混合债券型基金（二级）,3.97260274,19.15933529,5.973972239,72/2272,3.169014085,19.16,1.1,18.06,0.46,0.591432274,3.325515176,0.48453068,6590/9376
002637.OF,广发集裕债券C,2016-07-20,——,2000,——,"时,在广发集裕债券基金恢复申购期间,暂停单日单账户通过申购及转换转入合计超过500,000元(不含)的大额业务,如单日单个基金账户累计申购及转换转入本基金金额合计超过500,000元(不含),本基金注册登记人将有权确认相关业务失败",混合债券型基金（二级）,3.97260274,18.79327399,5.973972239,76/2272,3.345070423,18.79,1.1,17.69,0.47,0.028361353,0.10209881,0.019587633,8653/9376
002716.OF,博时裕通纯债3个月定期开放债券型发起式A,2016-07-15,——,1,——,为保护基金份额持有人利益,长期纯债型基金,4.005479452,3.772409536,5.973972239,1532/2272,67.42957746,3.75,4.28,-0.53,0.01,30.61556864,0.002393059,3.040482571,991/9376
002812.OF,博时裕通纯债3个月定期开放债券型发起式C,2016-07-15,——,1,——,为保护基金份额持有人利益,长期纯债型基金,3.794520548,3.587639703,5.973972239,1647/2272,72.49119718,3.58,4.28,-0.7,0.01,6.72052E-05,0.001986841,8.47402E-05,9286/9376
530014.OF,建信双周理财A,2016-07-15,——,500,——,保护基金份额持有人利益,中短期纯债型基金,7.676712329,2.635181412,5.973972239,2042/2272,89.87676056,2.6269,1.35,1.2769,0.001,3.37047544,5.491600632,12.52454411,3764/9376
530028.OF,建信短债债券C,2016-07-15,——,500,——,保护基金份额持有人利益,中短期纯债型基金,7.364383562,0,5.973972239,2215/2272,97.49119718,2.5652,1.35,1.2152,0.001,1.638621089,4.315667365,7.506328112,5028/9376
531014.OF,建信双周理财B,2016-07-15,——,500,——,保护基金份额持有人利益,中短期纯债型基金,7.676712329,2.935126691,5.973972239,1951/2272,85.87147887,2.926,1.35,1.576,0.001,31.26643394,60.71578146,131.1483621,952/9376
531028.OF,建信短债债券A,2016-07-15,——,500,——,保护基金份额持有人利益,中短期纯债型基金,7.364383562,0,5.973972239,2216/2272,97.53521127,2.8644,1.35,1.5144,0.001,5.626679606,58.66644075,149.9971025,3020/9376
001041.OF,南方理财60天债券E,2016-07-13,——,100,——,保护基金份额持有人的利益。,中短期纯债型基金,5.147945205,2.810706481,5.973972239,1996/2272,87.85211268,2.7966,1.3781,1.4185,0.0041,0.001003897,0.002956026,0.00135184,9146/9376
202305.OF,南方理财60天债券A,2016-07-13,——,100,——,保护基金份额持有人的利益。,中短期纯债型基金,7.534246575,2.758615436,5.973972239,2016/2272,88.73239437,2.7448,1.3781,1.3667,0.0041,2.795563997,3.617948537,7.486320992,4088/9376
202306.OF,南方理财60天债券B,2016-07-13,——,100,——,保护基金份额持有人的利益。,中短期纯债型基金,7.534246575,3.058516152,5.973972239,1902/2272,83.71478873,3.0426,1.3781,1.6645,0.0041,2.186419726,69.19221669,17.87407369,4499/9376
001755.OF,嘉实新思路混合,2016-07-11,——,0.1,——,"保证基金业绩和规模的良性成长,向投资者提供更优质的服务",偏股混合型基金,4.052054795,7.202993319,31.39015396,2660/2986,89.08238446,7.1,19.76,-12.66,-0.36,3.381904066,7.55838887,7.428533262,3757/9376
002855.OF,博时现金宝货币C,2016-07-11,——,1000,——,为保护基金份额持有人利益,货币式基金,3.917808219,2.700457908,2.546879012,198/649,30.50847458,2.692,0.3549,2.3371,0.0008,35.19516176,269.759491,123.4935824,861/9376
002569.OF,博时裕弘纯债债券,2016-07-04,——,1,——,为保护基金份额持有人利益,长期纯债型基金,3.871232877,2.741020894,5.973972239,2020/2272,88.9084507,2.74,2.7,0.04,0.04,20.24949032,1.445654995,1.521358181,1389/9376
002811.OF,博时裕顺纯债债券,2016-07-04,——,1,——,为保护基金份额持有人利益,长期纯债型基金,3.854794521,6.220095672,5.973972239,543/2272,23.89964789,6.22,4.28,1.94,0.01,5.748142112,5.088376595,5.246315006,2981/9376
002909.OF,浙商惠享纯债,2016-07-04,——,0.1,——,为保护基金份额持有人利益,长期纯债型基金,3.863013699,3.672675324,5.973972239,1599/2272,70.37852113,3.64,1.1,2.54,-0.06,37.46363066,40.56993856,37.45087776,810/9376
002411.OF,华夏新机遇混合A,2016-06-24,——,5,——,"保护基金份额持有人的利益,加强基金投资运作的稳定性。",偏股混合型基金,4.087671233,22.34595472,31.39015396,1780/2986,59.61152043,22.35,19.73,2.62,-0.14,2.668138336,2.39764929,1.527435102,4162/9376
002391.OF,华安全球美元收益债券(QDII)人民币A,2016-06-22,——,1,——,"为了保证基金的平稳运作,保护基金持有人利益",QDII,4.106849315,8.325709058,20.89744936,218/241,90.45643154,8.33,9.98,-1.65,-0.1,3.745761162,11.03056695,7.039750966,3590/9376
002392.OF,华安全球美元收益债券(QDII)美元现汇A,2016-06-22,——,0.14,——,"为了保证基金的平稳运作,保护基金持有人利益",QDII,4.106849315,8.282515072,20.89744936,219/241,90.87136929,8.33,9.98,-1.65,-0.1,3.745761162,11.03056695,7.039750966,3591/9376
002393.OF,华安全球美元收益债券(QDII)C,2016-06-22,——,1,——,"为了保证基金的平稳运作,保护基金持有人利益",QDII,4.106849315,7.87037037,20.89744936,222/241,92.11618257,7.87,9.98,-2.11,-0.1,0.774235349,1.477657709,0.994534394,6180/9376
000760.OF,工银财富货币A,2016-06-17,——,100,——,为保护投资者利益,货币式基金,4.868493151,2.418837501,2.546879012,481/649,74.11402157,2.4072,1.35,1.0572,0.0019,4.869564687,9.873195301,8.85124386,3267/9376
002722.OF,工银财富货币B,2016-06-17,——,100,——,为保护投资者利益,货币式基金,4.01369863,2.665911816,2.546879012,235/649,36.20955316,2.6536,1.35,1.3036,0.0019,0.301579565,23.22960664,4.257125099,7362/9376
002211.OF,嘉实新财富混合,2016-06-13,——,0.1,——,"保证基金业绩和规模的良性成长, 向投资者提供更优质的服务",偏股混合型基金,4.131506849,10.60465101,31.39015396,2415/2986,80.877428,10.6,19.76,-9.16,-0.35,0.558847893,7.592788885,7.453965365,6663/9376
002212.OF,嘉实新起航混合,2016-06-13,——,0.1,——,"保证基金业绩和规模的良性成长,向投资者提供更优质的服务",偏股混合型基金,4.131506849,8.333443751,31.39015396,2592/2986,86.80509042,8.33,19.76,-11.43,-0.36,2.260537055,7.595413453,7.463823863,4431/9376
002698.OF,博时裕利纯债债券,2016-06-06,——,1,——,为保护基金份额持有人利益,长期纯债型基金,3.978082192,4.000659086,5.973972239,1357/2272,59.72711268,4,4.28,-0.28,0.02,60.47522586,60.2045326,61.54219623,512/9376
002754.OF,博时裕创纯债,2016-06-06,——,1,——,为保护基金份额持有人利益,长期纯债型基金,3.967123288,5.656604089,5.973972239,638/2272,28.08098592,5.55,4.28,1.27,0.03,10.30195291,13.93524436,9.953726839,2182/9376
002755.OF,博时裕盛纯债债券,2016-06-06,——,1,——,为保护基金份额持有人利益,长期纯债型基金,3.947945205,4.75214417,5.973972239,944/2272,41.54929577,4.75,4.28,0.47,0,5.167109327,2.120793328,2.184388439,3171/9376
002775.OF,博时景兴纯债债券,2016-06-06,——,1,——,为保护基金份额持有人利益,长期纯债型基金,3.947945205,4.693889604,5.973972239,975/2272,42.91373239,4.66,4.28,0.38,0,7.53298749,7.366875809,7.655393338,2621/9376
002781.OF,博时聚瑞6个月定开债,2016-06-06,——,1,——,为保护基金份额持有人利益,长期纯债型基金,3.931506849,5.330383835,5.973972239,726/2272,31.95422535,5.33,4.28,1.05,0.03,50.55761536,5.065279247,7.666179769,621/9376
002828.OF,南方现金增利货币E,2016-05-30,——,5000,——,——,货币式基金,3.920547945,2.441640338,2.546879012,462/649,71.18644068,2.4315,1.3781,1.0534,0.0011,22.31376617,19.01880887,16.20755114,1255/9376
002077.OF,浙商日添利A,2016-05-11,——,1000,——,"保证浙商日添利货币市场基金业绩和规模的良性成长,保护基金份额持有人利益",货币式基金,4.397260274,1.925586928,2.546879012,630/649,97.07241911,1.9129,0.35,1.5629,0.0013,0.255553672,0.392478598,0.830403334,7501/9376
002078.OF,浙商日添利B,2016-05-11,——,1000,——,"保证浙商日添利货币市场基金业绩和规模的良性成长,保护基金份额持有人利益",货币式基金,4.397260274,2.1711644,2.546879012,600/649,92.44992296,2.1584,0.35,1.8084,0.0013,0.152262064,1.618991831,0.852307522,7903/9376
002447.OF,博时裕安纯债,2016-05-10,——,1,——,为保护基金份额持有人利益,长期纯债型基金,4.15890411,5.204362337,5.973972239,763/2272,33.58274648,5.17,4.28,0.89,0,8.524227539,8.169790894,8.689630625,2470/9376
002466.OF,博时裕新纯债,2016-05-10,——,1,——,为保护基金份额持有人利益,长期纯债型基金,4.087671233,4.285455362,5.973972239,1182/2272,52.02464789,4.24,4.28,-0.04,0,41.92598649,41.10961632,43.45264773,729/9376
002519.OF,博时裕景纯债,2016-05-10,——,1,——,为保护基金份额持有人利益,长期纯债型基金,4.008219178,3.813498148,5.973972239,1503/2272,66.15316901,3.81,2.7,1.11,0.04,20.46287382,59.00803915,54.87699195,1365/9376
002568.OF,博时裕发纯债,2016-05-10,——,1,——,为保护基金份额持有人利益,长期纯债型基金,4.068493151,3.356868804,5.973972239,1784/2272,78.52112676,3.26,4.28,-1.02,0.02,10.30171584,10.13390744,10.13392973,2183/9376
002149.OF,嘉实新优选混合,2016-05-09,——,0.1,——,"保证基金业绩和规模的良性成长,向投资者提供更优质的服务",偏股混合型基金,4.063013699,9.353539962,31.39015396,2520/2986,84.39383791,9.35,19.76,-10.41,-0.34,2.342800009,7.607014426,7.464222446,4353/9376
001134.OF,广发天天利货币E,2016-05-03,——,500,——,保护现有基金份额持有人利益,货币式基金,5.109589041,2.417251414,2.546879012,483/649,74.42218798,2.4091,0.35,2.0591,0.0007,878.6081956,134.4803895,764.1115359,25/9376
002680.OF,工银安盈货币B,2016-04-29,——,3000,——,为保护投资者利益,货币式基金,4.01369863,2.761816594,2.546879012,139/649,21.41756549,2.733,1.35,1.383,0.0023,13.61244423,7.71,7.956122119,1816/9376
000797.OF,方正富邦金小宝货币,2016-04-15,——,5000,——,"为了保证基金的平稳运作,保护基金份额持有人的利益。",货币式基金,5.602739726,2.775862449,2.546879012,122/649,18.798151,2.7693,0.35,2.4193,0.0015,115.8420585,84.26809372,96.98657877,233/9376
001524.OF,华泰柏瑞精选回报混合,2016-04-08,——,10,——,不接受单日每个基金账户累计申购、定投和转换转入本基金份额超过10万元的申请,偏股混合型基金,4.090410959,17.2524927,31.39015396,2021/2986,67.68251842,17.22,22.93,-5.71,-0.22,0.121488754,5.485932221,4.974244656,8069/9376
001960.OF,兴银瑞益,2016-04-08,——,500,——,"保证基金业绩和规模的良性成长,向投资者提供更优质的服务",长期纯债型基金,4.484931507,3.19694315,5.973972239,1853/2272,81.55809859,3.2,1.31,1.89,0,42.957207,45.50101749,48.64626582,715/9376
002548.OF,嘉实稳瑞纯债债券,2016-04-06,——,1,——,"保证基金业绩和规模的良性成长,向投资者提供更优质的服务",长期纯债型基金,4.120547945,3.971147429,5.973972239,1379/2272,60.69542254,3.97,2.53,1.44,0.04,14.89048424,14.35169944,14.54663249,1714/9376
001918.OF,圆信永丰兴利A,2016-04-05,——,5,——,"为了保证基金的平稳运作,保护基金份额持有人利益。",长期纯债型基金,4.18630137,4.820416131,5.973972239,908/2272,39.96478873,4.82,1.31,3.51,0,0.514025359,17.97595059,1.615674129,6790/9376
001919.OF,圆信永丰兴利C,2016-04-05,——,5,——,"为了保证基金的平稳运作,保护基金份额持有人利益。",长期纯债型基金,4.18630137,4.562383059,5.973972239,1041/2272,45.81866197,4.56,1.31,3.25,0,0.006183519,0.001925151,0.58536521,8954/9376
070025.OF,嘉实信用债券A,2016-04-05,——,500,——,"保证嘉实信用债券型证券投资基金业绩和规模的良性成长,向投资者提供更优质的服务",混合债券型基金（一级）,8.632876712,6.615120423,5.973972239,501/2272,22.05105634,6.62,4.36,2.26,0.03,16.45761399,11.5104746,10.32526609,1599/9376
070026.OF,嘉实信用债券C,2016-04-05,——,500,——,"保证嘉实信用债券型证券投资基金业绩和规模的良性成长,向投资者提供更优质的服务",混合债券型基金（一级）,8.632876712,6.255430175,5.973972239,540/2272,23.76760563,6.26,4.36,1.9,0.02,4.49672128,1.377106904,1.107258408,3375/9376
001329.OF,鹏华弘实混合A,2016-03-31,——,1,——,保护现有基金份额持人利益,偏股混合型基金,4.936986301,4.460072481,31.39015396,2819/2986,94.40723376,4.44,4.5,-0.06,0.15,1.375273358,6.437612099,0.57918933,5302/9376
002409.OF,华夏新活力混合A,2016-03-31,——,5,——,"保护基金份额持有人的利益,加强基金投资运作的稳定性。",偏股混合型基金,4.18630137,6.137184116,31.39015396,2737/2986,91.66108506,6.14,19.73,-13.59,-0.33,0.005740153,0.009289072,0.014435165,8966/9376
001327.OF,鹏华弘华混合A,2016-03-28,——,100,——,保护现有基金份额持有人利益,偏股混合型基金,4.936986301,32.45113147,31.39015396,1365/2986,45.71332887,32.44,4.5,27.94,0.99,2.429138928,2.271717473,1.769954109,4285/9376
001328.OF,鹏华弘华混合C,2016-03-28,——,100,——,保护现有基金份额持有人利益,偏股混合型基金,4.936986301,32.6182888,31.39015396,1359/2986,45.51239116,32.62,4.5,28.12,1,0.060313047,0.00225858,0.002258871,8413/9376
002337.OF,创金合信尊盈纯债债券,2016-03-17,——,1,——,"为保护现有基金持有人的利益,特安排暂停本基金的大额申购业务。",长期纯债型基金,4.315068493,-16.86159842,5.973972239,2271/2272,99.95598592,-16.78,1.31,-18.09,0.11,0.005592668,5.096172617,0.008165397,8970/9376
002231.OF,华夏新趋势混合A,2016-03-02,——,10,——,"保护现有基金份额持有人的利益,加强基金投资运作的稳定性。",偏股混合型基金,4.391780822,16.42924908,31.39015396,2058/2986,68.92163429,16.43,19.73,-3.3,-0.16,1.092989829,2.058824199,1.993012421,5644/9376
002354.OF,博时裕腾纯债,2016-01-29,——,1,——,为保护基金份额持有人利益,长期纯债型基金,4.284931507,5.826432472,5.973972239,608/2272,26.76056338,5.81,2.7,3.11,0.04,4.348633523,3.986681572,4.184207495,3417/9376
001973.OF,光大保德信耀钱包货币A,2016-01-18,——,100,——,"为保护本基金份额持有人的利益,对本基金的大额申购、转换转入、定期定额投资业务进行限制",货币式基金,4.490410959,2.610066048,2.546879012,288/649,44.37596302,2.5789,0.3549,2.224,0.0008,42.18699215,5.01318006,10.18414541,726/9376
001716.OF,工银新趋势灵活配置混合A,2016-01-04,——,100,——,为保护投资者利益,偏股混合型基金,4.378082192,25.80348944,31.39015396,1631/2986,54.62156731,25.8,10.71,15.09,0.38,0.076939908,0.013364831,0.060401229,8326/9376
001997.OF,工银新趋势灵活配置混合C,2016-01-04,——,100,——,为保护投资者利益,偏股混合型基金,4.378082192,25.12124151,31.39015396,1663/2986,55.6932351,25.12,10.71,14.41,0.38,1.371358645,1.101744892,0.9989135,5305/9376
217004.OF,招商现金增值货币A,2016-01-04,——,1000,——,"为了保证基金的平稳运作,维护基金持有人利益。",货币式基金,16.30410959,2.450858238,2.546879012,452/649,69.64560863,2.4053,1.5208,0.8845,0.0009,98.45027077,128.5522489,101.7506068,297/9376
